Composante,Variance_expliquee,Variance_cumulee
1,26.87140992614924,26.87140992614924
2,23.43201003463552,50.303419960784765
3,17.842833110859456,68.14625307164422
4,10.712970780478404,78.85922385212262
5,6.4326618811860055,85.29188573330863
6,4.736629129557527,90.02851486286616
7,3.991458828206958,94.01997369107312
8,2.8142525156065057,96.83422620667963
9,2.091702438129007,98.92592864480864
10,0.9857395058806442,99.91166815068928
11,0.06650210307831063,99.9781702537676
12,0.019111050573500037,99.99728130434109
13,0.0018157521965074081,99.99909705653761
14,0.0007039842955515197,99.99980104083315
15,0.00015733918250678388,99.99995838001566
16,4.1619983572937346e-05,99.99999999999922
17,7.927266796434256e-13,100.00000000000003
18,0.0,100.00000000000003
19,0.0,100.00000000000003
